id,timestamp,mq135,mq2,mq4,mq7,kualitas
7369,2025-05-15T15:04:30,2.6066,1.9982,3.7334,1.6698,Kopi Sedang
7370,2025-05-15T15:04:33,2.579,1.9588,3.7367,1.6613,Kopi Sedang
7371,2025-05-15T15:04:36,2.579,1.954,3.7342,1.6566,Kopi Sedang
7372,2025-05-15T15:04:39,2.5836,1.9443,3.7307,1.6527,Kopi Sedang
7373,2025-05-15T15:04:42,2.5882,1.9395,3.7295,1.6487,Kopi Sedang
7374,2025-05-15T15:04:45,2.6019,1.9347,3.7298,1.6452,Kopi Sedang
7375,2025-05-15T15:04:49,2.6019,1.9252,3.73,1.6418,Kopi Sedang
7376,2025-05-15T15:04:52,2.6066,1.9157,3.7293,1.6387,Kopi Sedang
7377,2025-05-15T15:04:55,2.6112,1.9157,3.7307,1.6354,Kopi Sedang
7378,2025-05-15T15:04:58,2.6158,1.9063,3.7312,1.6325,Kopi Sedang
7379,2025-05-15T15:05:01,2.6205,1.9016,3.731,1.6257,Kopi Sedang
7380,2025-05-15T15:05:04,2.6205,1.8969,3.7303,1.6201,Kopi Sedang
7381,2025-05-15T15:05:07,2.6205,1.8876,3.7306,1.6143,Kopi Sedang
7382,2025-05-15T15:05:10,2.6251,1.883,3.7321,1.6086,Kopi Sedang
7383,2025-05-15T15:05:13,2.6251,1.8784,3.7332,1.6035,Kopi Sedang
7384,2025-05-15T15:05:16,2.6251,1.8738,3.7328,1.5983,Kopi Sedang
7385,2025-05-15T15:05:19,2.6298,1.8692,3.7319,1.5934,Kopi Sedang
7386,2025-05-15T15:05:22,2.6298,1.8647,3.7325,1.5888,Kopi Sedang
7387,2025-05-15T15:05:25,2.6298,1.8601,3.7314,1.5846,Kopi Sedang
7388,2025-05-15T15:05:28,2.6345,1.8556,3.7308,1.5802,Kopi Sedang
7389,2025-05-15T15:05:32,2.6392,1.8511,3.7312,1.5757,Kopi Sedang
7390,2025-05-15T15:05:35,2.6392,1.8466,3.7314,1.5713,Kopi Sedang
7391,2025-05-15T15:05:38,2.6392,1.8421,3.731,1.5672,Kopi Sedang
7392,2025-05-15T15:05:41,2.6439,1.8421,3.7306,1.5632,Kopi Sedang
7393,2025-05-15T15:05:44,2.6392,1.8376,3.7312,1.5595,Kopi Sedang
7394,2025-05-15T15:05:47,2.6392,1.8376,3.7317,1.556,Kopi Sedang
7395,2025-05-15T15:05:50,2.6439,1.8331,3.7323,1.5524,Kopi Sedang
7396,2025-05-15T15:05:53,2.6439,1.8287,3.7323,1.5487,Kopi Sedang
7397,2025-05-15T15:05:56,2.6439,1.8287,3.7317,1.545,Kopi Sedang
7398,2025-05-15T15:05:59,2.6533,1.8331,3.7332,1.5422,Kopi Sedang
7399,2025-05-15T15:06:02,2.6581,1.8287,3.7341,1.5393,Kopi Sedang
7400,2025-05-15T15:06:05,2.6439,1.8198,3.7341,1.536,Kopi Sedang
7401,2025-05-15T15:06:08,2.6392,1.8154,3.7348,1.5329,Kopi Sedang
7402,2025-05-15T15:06:12,2.6439,1.8154,3.7348,1.5301,Kopi Sedang
7403,2025-05-15T15:06:15,2.6581,1.8198,3.7341,1.5274,Kopi Sedang
7404,2025-05-15T15:06:18,2.6533,1.811,3.7348,1.5242,Kopi Sedang
7405,2025-05-15T15:06:21,2.6486,1.8067,3.7343,1.5211,Kopi Sedang
7406,2025-05-15T15:06:24,2.6486,1.8067,3.735,1.518,Kopi Sedang
7407,2025-05-15T15:06:27,2.6439,1.8067,3.7352,1.5151,Kopi Sedang
7408,2025-05-15T15:06:30,2.6486,1.8023,3.7339,1.5115,Kopi Sedang
7409,2025-05-15T15:06:33,2.6486,1.8023,3.7319,1.5085,Kopi Sedang
7410,2025-05-15T15:06:36,2.6439,1.7936,3.7325,1.5059,Kopi Sedang
7411,2025-05-15T15:06:39,2.6486,1.7936,3.7323,1.5035,Kopi Sedang
7412,2025-05-15T15:06:42,2.6486,1.7936,3.7334,1.501,Kopi Sedang
7413,2025-05-15T15:06:45,2.6486,1.7893,3.7336,1.4981,Kopi Sedang
7414,2025-05-15T15:06:48,2.6486,1.7893,3.733,1.4958,Kopi Sedang
7415,2025-05-15T15:06:51,2.6486,1.7893,3.7343,1.4937,Kopi Sedang
7416,2025-05-15T15:06:55,2.6486,1.785,3.733,1.4917,Kopi Sedang
7417,2025-05-15T15:06:58,2.6486,1.785,3.7341,1.4895,Kopi Sedang
7418,2025-05-15T15:07:01,2.6486,1.785,3.7332,1.4874,Kopi Sedang
7419,2025-05-15T15:07:04,2.6439,1.785,3.7339,1.4851,Kopi Sedang
7420,2025-05-15T15:07:07,2.6439,1.785,3.7339,1.4831,Kopi Sedang
7421,2025-05-15T15:07:10,2.6439,1.7764,3.7341,1.4808,Kopi Sedang
7422,2025-05-15T15:07:13,2.6439,1.7764,3.7341,1.4784,Kopi Sedang
7423,2025-05-15T15:07:16,2.6439,1.7764,3.7334,1.4761,Kopi Sedang
7424,2025-05-15T15:07:19,2.6486,1.7721,3.7328,1.4741,Kopi Sedang
7425,2025-05-15T15:07:22,2.6439,1.7721,3.7325,1.4718,Kopi Sedang
7426,2025-05-15T15:07:25,2.6486,1.7721,3.7328,1.4695,Kopi Sedang
7427,2025-05-15T15:07:28,2.6439,1.7679,3.7321,1.4672,Kopi Sedang
7428,2025-05-15T15:07:31,2.6439,1.7679,3.7323,1.4653,Kopi Sedang
7429,2025-05-15T15:07:35,2.6439,1.7636,3.733,1.4634,Kopi Sedang
7430,2025-05-15T15:07:38,2.6439,1.7594,3.7319,1.4616,Kopi Sedang
7431,2025-05-15T15:07:41,2.6439,1.7594,3.7317,1.4596,Kopi Sedang
