id,timestamp,mq135,mq2,mq4,mq7,kualitas
8759,2025-05-15T16:32:27,2.4881,2.0658,3.73,1.7329,Kopi Sedang
8760,2025-05-15T16:32:30,2.4687,2.0534,3.7333,1.7227,Kopi Sedang
8761,2025-05-15T16:32:33,2.4881,2.0699,3.7344,1.7263,Kopi Sedang
8762,2025-05-15T16:32:36,2.4764,2.0617,3.7344,1.7289,Kopi Sedang
8763,2025-05-15T16:32:40,2.4764,2.0658,3.7335,1.7295,Kopi Sedang
8764,2025-05-15T16:32:43,2.4803,2.074,3.7337,1.7294,Kopi Sedang
8765,2025-05-15T16:32:46,2.4842,2.0782,3.7338,1.7291,Kopi Sedang
8766,2025-05-15T16:32:49,2.492,2.0865,3.7339,1.7307,Kopi Sedang
8767,2025-05-15T16:32:52,2.496,2.0949,3.733,1.7327,Kopi Sedang
8768,2025-05-15T16:32:55,2.4999,2.0991,3.7329,1.7363,Kopi Sedang
8769,2025-05-15T16:32:58,2.5038,2.1033,3.7333,1.7396,Kopi Sedang
8770,2025-05-15T16:33:01,2.5157,2.1161,3.7329,1.7456,Kopi Sedang
8771,2025-05-15T16:33:04,2.5157,2.1203,3.7327,1.7501,Kopi Sedang
8772,2025-05-15T16:33:07,2.5197,2.1246,3.7327,1.7547,Kopi Sedang
8773,2025-05-15T16:33:10,2.5237,2.1375,3.7331,1.7596,Kopi Sedang
8774,2025-05-15T16:33:13,2.5277,2.1375,3.7327,1.7666,Kopi Sedang
8775,2025-05-15T16:33:16,2.5357,2.1505,3.7327,1.7729,Kopi Sedang
8776,2025-05-15T16:33:19,2.5397,2.1549,3.7327,1.777,Kopi Sedang
8777,2025-05-15T16:33:23,2.5438,2.1592,3.7331,1.7813,Kopi Sedang
8778,2025-05-15T16:33:26,2.5478,2.168,3.734,1.784,Kopi Sedang
8779,2025-05-15T16:33:29,2.56,2.1812,3.734,1.7863,Kopi Sedang
8780,2025-05-15T16:33:32,2.56,2.1857,3.734,1.788,Kopi Sedang
8781,2025-05-15T16:33:35,2.564,2.1901,3.7338,1.7892,Kopi Sedang
8782,2025-05-15T16:33:38,2.5681,2.1946,3.7331,1.79,Kopi Sedang
8783,2025-05-15T16:33:41,2.5763,2.1946,3.7327,1.7914,Kopi Sedang
8784,2025-05-15T16:33:44,2.5804,2.208,3.7327,1.7902,Kopi Sedang
8785,2025-05-15T16:33:47,2.5845,2.2125,3.7324,1.7905,Kopi Sedang
8786,2025-05-15T16:33:50,2.5887,2.217,3.732,1.792,Kopi Sedang
8787,2025-05-15T16:33:53,2.5969,2.2261,3.7324,1.7931,Kopi Sedang
8788,2025-05-15T16:33:56,2.6053,2.2307,3.7318,1.7949,Kopi Sedang
8789,2025-05-15T16:33:59,2.6053,2.2352,3.7324,1.7975,Kopi Sedang
8790,2025-05-15T16:34:03,2.6094,2.2398,3.7333,1.7994,Kopi Sedang
8791,2025-05-15T16:34:06,2.6136,2.2444,3.7335,1.8019,Kopi Sedang
8792,2025-05-15T16:34:09,2.622,2.249,3.734,1.8058,Kopi Sedang
8793,2025-05-15T16:34:12,2.6178,2.2583,3.7344,1.8095,Kopi Sedang
8794,2025-05-15T16:34:15,2.6262,2.2629,3.7349,1.815,Kopi Sedang
8795,2025-05-15T16:34:18,2.6304,2.2676,3.7347,1.8206,Kopi Sedang
8796,2025-05-15T16:34:21,2.6347,2.2722,3.7351,1.8264,Kopi Sedang
8797,2025-05-15T16:34:24,2.6431,2.2816,3.736,1.831,Kopi Sedang
8798,2025-05-15T16:34:27,2.6431,2.2863,3.736,1.8351,Kopi Sedang
8799,2025-05-15T16:34:30,2.6474,2.291,3.7353,1.8393,Kopi Sedang
8800,2025-05-15T16:34:33,2.6517,2.2958,3.7347,1.845,Kopi Sedang
8801,2025-05-15T16:34:36,2.6517,2.3053,3.7349,1.8505,Kopi Sedang
8802,2025-05-15T16:34:39,2.6517,2.3005,3.7349,1.8555,Kopi Sedang
8803,2025-05-15T16:34:43,2.6602,2.3148,3.7344,1.861,Kopi Sedang
8804,2025-05-15T16:34:46,2.6645,2.3196,3.7344,1.8653,Kopi Sedang
8805,2025-05-15T16:34:49,2.6688,2.3292,3.7351,1.8686,Kopi Sedang
8806,2025-05-15T16:34:52,2.6775,2.3389,3.7353,1.8713,Kopi Sedang
8807,2025-05-15T16:34:55,2.6775,2.3341,3.7347,1.8752,Kopi Sedang
8808,2025-05-15T16:34:58,2.6818,2.3438,3.7349,1.8785,Kopi Sedang
8809,2025-05-15T16:35:01,2.6861,2.3487,3.7347,1.8812,Kopi Sedang
8810,2025-05-15T16:35:04,2.6905,2.3535,3.7347,1.8836,Kopi Sedang
8811,2025-05-15T16:35:07,2.6905,2.3584,3.7344,1.8861,Kopi Sedang
8812,2025-05-15T16:35:10,2.6948,2.3634,3.7353,1.8877,Kopi Sedang
8813,2025-05-15T16:35:13,2.6992,2.3634,3.7358,1.8888,Kopi Sedang
8814,2025-05-15T16:35:16,2.7036,2.3732,3.736,1.8902,Kopi Sedang
8815,2025-05-15T16:35:19,2.7168,2.3831,3.736,1.8921,Kopi Sedang
8816,2025-05-15T16:35:23,2.7124,2.3831,3.7353,1.8935,Kopi Sedang
8817,2025-05-15T16:35:26,2.7168,2.3831,3.7351,1.8946,Kopi Sedang
8818,2025-05-15T16:35:29,2.7212,2.3881,3.7349,1.8963,Kopi Sedang
8819,2025-05-15T16:35:32,2.7212,2.3881,3.7353,1.8984,Kopi Sedang
8820,2025-05-15T16:35:35,2.7256,2.3931,3.7353,1.8998,Kopi Sedang
8821,2025-05-15T16:35:38,2.7301,2.3981,3.7351,1.9006,Kopi Sedang
8822,2025-05-15T16:35:41,2.7345,2.4032,3.7353,1.9015,Kopi Sedang
8823,2025-05-15T16:35:44,2.739,2.4082,3.736,1.9025,Kopi Sedang
8824,2025-05-15T16:35:47,2.7479,2.4132,3.7358,1.9035,Kopi Sedang
8825,2025-05-15T16:35:50,2.7434,2.4132,3.7355,1.9038,Kopi Sedang
8826,2025-05-15T16:35:53,2.7479,2.4183,3.7358,1.9048,Kopi Sedang
8827,2025-05-15T16:35:56,2.7569,2.4183,3.7366,1.906,Kopi Sedang
8828,2025-05-15T16:35:59,2.7524,2.4234,3.7369,1.9064,Kopi Sedang
8829,2025-05-15T16:36:03,2.7614,2.4285,3.7373,1.9076,Kopi Sedang
8830,2025-05-15T16:36:06,2.7614,2.4336,3.7375,1.9092,Kopi Sedang
8831,2025-05-15T16:36:09,2.7659,2.4336,3.7377,1.9102,Kopi Sedang
8832,2025-05-15T16:36:12,2.7659,2.4387,3.7369,1.9111,Kopi Sedang
8833,2025-05-15T16:36:15,2.7796,2.4438,3.7364,1.9113,Kopi Sedang
8834,2025-05-15T16:36:18,2.775,2.449,3.7364,1.9111,Kopi Sedang
8835,2025-05-15T16:36:21,2.7796,2.449,3.7362,1.9121,Kopi Sedang
8836,2025-05-15T16:36:24,2.7841,2.449,3.7362,1.9129,Kopi Sedang
8837,2025-05-15T16:36:27,2.7887,2.4593,3.7362,1.9135,Kopi Sedang
8838,2025-05-15T16:36:30,2.7933,2.4645,3.7369,1.9138,Kopi Sedang
8839,2025-05-15T16:36:33,2.7979,2.4645,3.7364,1.9135,Kopi Sedang
8840,2025-05-15T16:36:36,2.8025,2.4697,3.7362,1.9135,Kopi Sedang
8841,2025-05-15T16:36:39,2.7979,2.4645,3.736,1.9142,Kopi Sedang
8842,2025-05-15T16:36:42,2.8163,2.4854,3.7369,1.9151,Kopi Sedang
8843,2025-05-15T16:36:46,2.8117,2.4802,3.7369,1.9167,Kopi Sedang
8844,2025-05-15T16:36:49,2.8163,2.4854,3.7364,1.9191,Kopi Sedang
8845,2025-05-15T16:36:52,2.8117,2.4802,3.7366,1.921,Kopi Sedang
8846,2025-05-15T16:36:55,2.8256,2.4907,3.7373,1.9225,Kopi Sedang
8847,2025-05-15T16:36:58,2.8303,2.496,3.7366,1.9243,Kopi Sedang
8848,2025-05-15T16:37:01,2.8349,2.496,3.7358,1.9276,Kopi Sedang
8849,2025-05-15T16:37:04,2.8396,2.5012,3.7355,1.9302,Kopi Sedang
8850,2025-05-15T16:37:07,2.8396,2.5012,3.7364,1.9313,Kopi Sedang
8851,2025-05-15T16:37:10,2.8632,2.5226,3.7369,1.9337,Kopi Sedang
8852,2025-05-15T16:37:13,2.8585,2.5066,3.7371,1.9361,Kopi Sedang
8853,2025-05-15T16:37:16,2.8585,2.5119,3.7377,1.9382,Kopi Sedang
8854,2025-05-15T16:37:19,2.849,2.5066,3.7384,1.9393,Kopi Sedang
8855,2025-05-15T16:37:22,2.8585,2.5172,3.7393,1.9418,Kopi Sedang
8856,2025-05-15T16:37:26,2.8585,2.5172,3.7388,1.944,Kopi Sedang
8857,2025-05-15T16:37:29,2.8585,2.5226,3.7384,1.946,Kopi Sedang
8858,2025-05-15T16:37:32,2.8585,2.5226,3.7393,1.948,Kopi Sedang
8859,2025-05-15T16:37:35,2.868,2.5279,3.7404,1.951,Kopi Sedang
8860,2025-05-15T16:37:38,2.8775,2.5441,3.7402,1.9555,Kopi Sedang
8861,2025-05-15T16:37:41,2.8775,2.5387,3.7402,1.9581,Kopi Sedang
8862,2025-05-15T16:37:44,2.8871,2.5441,3.7391,1.9621,Kopi Sedang
8863,2025-05-15T16:37:47,2.9015,2.5495,3.7382,1.9665,Kopi Sedang
8864,2025-05-15T16:37:50,2.9063,2.5495,3.738,1.9712,Kopi Sedang
8865,2025-05-15T16:37:53,2.9405,2.5879,3.7373,1.9767,Kopi Sedang
8866,2025-05-15T16:37:56,2.9209,2.5495,3.7382,1.9817,Kopi Sedang
8867,2025-05-15T16:37:59,2.916,2.5387,3.7386,1.9868,Kopi Sedang
8868,2025-05-15T16:38:02,2.9258,2.555,3.738,1.9907,Kopi Sedang
8869,2025-05-15T16:38:05,2.8823,2.5226,3.7369,1.9918,Kopi Sedang
8870,2025-05-15T16:38:09,2.8775,2.5441,3.7364,1.9942,Kopi Sedang
8871,2025-05-15T16:38:12,2.8967,2.5714,3.7362,1.9989,Kopi Sedang
8872,2025-05-15T16:38:15,2.8871,2.555,3.7371,2.0021,Kopi Sedang
8873,2025-05-15T16:38:18,2.8871,2.5714,3.7373,2.0059,Kopi Sedang
8874,2025-05-15T16:38:21,2.9015,2.5879,3.7375,2.0111,Kopi Sedang
8875,2025-05-15T16:38:24,2.9209,2.5935,3.7375,2.0152,Kopi Sedang
8876,2025-05-15T16:38:27,2.9015,2.5659,3.7366,2.0181,Kopi Sedang
8877,2025-05-15T16:38:30,2.9112,2.5935,3.7366,2.0223,Kopi Sedang
8878,2025-05-15T16:38:33,2.9112,2.5935,3.7364,2.0238,Kopi Sedang
8879,2025-05-15T16:38:36,2.9454,2.6328,3.7362,2.0296,Kopi Sedang
8880,2025-05-15T16:38:39,2.9258,2.6215,3.736,2.0349,Kopi Sedang
8881,2025-05-15T16:38:42,2.9258,2.6158,3.7369,2.0399,Kopi Sedang
8882,2025-05-15T16:38:45,2.9209,2.5935,3.736,2.0449,Kopi Sedang
8883,2025-05-15T16:38:49,2.8967,2.6046,3.736,2.0481,Kopi Sedang
8884,2025-05-15T16:38:52,2.9063,2.6328,3.736,2.0493,Kopi Sedang
8885,2025-05-15T16:38:55,2.9307,2.6556,3.7358,2.0505,Kopi Sedang
8886,2025-05-15T16:38:58,2.9802,2.6961,3.736,2.0545,Kopi Sedang
8887,2025-05-15T16:39:01,2.9752,2.6786,3.7358,2.0543,Kopi Sedang
8888,2025-05-15T16:39:04,2.9953,2.6844,3.7358,2.058,Kopi Sedang
8889,2025-05-15T16:39:07,2.9603,2.6441,3.7362,2.0589,Kopi Sedang
8890,2025-05-15T16:39:10,2.9603,2.6441,3.736,2.0582,Kopi Sedang
8891,2025-05-15T16:39:13,2.9652,2.6728,3.7353,2.0558,Kopi Sedang
8892,2025-05-15T16:39:16,2.9504,2.6556,3.7351,2.0525,Kopi Sedang
8893,2025-05-15T16:39:19,3.0054,2.7078,3.7351,2.0516,Kopi Sedang
8894,2025-05-15T16:39:22,2.9802,2.6728,3.7347,2.0495,Kopi Sedang
8895,2025-05-15T16:39:25,2.9702,2.6385,3.7347,2.0449,Kopi Sedang
8896,2025-05-15T16:39:29,2.9702,2.6613,3.7347,2.0394,Kopi Sedang
8897,2025-05-15T16:39:32,2.9752,2.6844,3.7349,2.0375,Kopi Sedang
8898,2025-05-15T16:39:35,2.9603,2.6613,3.7351,2.0335,Kopi Sedang
8899,2025-05-15T16:39:38,2.9902,2.6903,3.7349,2.0319,Kopi Sedang
8900,2025-05-15T16:39:41,2.9902,2.6844,3.7351,2.0314,Kopi Sedang
8901,2025-05-15T16:39:44,2.9802,2.6786,3.7362,2.0317,Kopi Sedang
8902,2025-05-15T16:39:47,2.9902,2.6961,3.7364,2.0325,Kopi Sedang
8903,2025-05-15T16:39:50,2.9802,2.6844,3.7364,2.0315,Kopi Sedang
8904,2025-05-15T16:39:53,2.9953,2.7019,3.738,2.0326,Kopi Sedang
8905,2025-05-15T16:39:56,3.0003,2.7078,3.7382,2.0356,Kopi Sedang
8906,2025-05-15T16:39:59,3.0054,2.7019,3.738,2.0391,Kopi Sedang
8907,2025-05-15T16:40:02,2.9953,2.7078,3.7382,2.0415,Kopi Sedang
8908,2025-05-15T16:40:05,2.9652,2.6728,3.738,2.0447,Kopi Sedang
8909,2025-05-15T16:40:09,3.0054,2.7374,3.7382,2.0477,Kopi Sedang
8910,2025-05-15T16:40:12,3.0054,2.7255,3.7382,2.0487,Kopi Sedang
8911,2025-05-15T16:40:15,3.0207,2.7494,3.7371,2.0519,Kopi Sedang
8912,2025-05-15T16:40:18,3.0258,2.7494,3.7377,2.0554,Kopi Sedang
8913,2025-05-15T16:40:21,2.9953,2.7196,3.7373,2.0565,Kopi Sedang
8914,2025-05-15T16:40:24,2.9902,2.7196,3.7362,2.0574,Kopi Sedang
8915,2025-05-15T16:40:27,3.0003,2.7374,3.7362,2.0597,Kopi Sedang
8916,2025-05-15T16:40:30,2.9953,2.7315,3.7364,2.0626,Kopi Sedang
8917,2025-05-15T16:40:33,3.0207,2.7614,3.736,2.0667,Kopi Sedang
8918,2025-05-15T16:40:36,3.0619,2.7796,3.7369,2.0731,Kopi Sedang
8919,2025-05-15T16:40:39,2.9953,2.7019,3.7369,2.0736,Kopi Sedang
8920,2025-05-15T16:40:42,3.0105,2.7494,3.7371,2.077,Kopi Sedang
8921,2025-05-15T16:40:45,2.9902,2.7196,3.7366,2.0766,Kopi Sedang
8922,2025-05-15T16:40:49,2.9902,2.7614,3.7362,2.0765,Kopi Sedang
8923,2025-05-15T16:40:52,3.0671,2.8476,3.7369,2.0833,Kopi Sedang
8924,2025-05-15T16:40:55,3.0412,2.7857,3.7366,2.0902,Kopi Sedang
8925,2025-05-15T16:40:58,3.0567,2.8041,3.7373,2.0965,Kopi Sedang
8926,2025-05-15T16:41:01,3.0463,2.7979,3.7373,2.1009,Kopi Sedang
8927,2025-05-15T16:41:04,3.0054,2.7675,3.7377,2.1011,Kopi Sedang
8928,2025-05-15T16:41:07,3.0003,2.7796,3.7369,2.0994,Kopi Sedang
8929,2025-05-15T16:41:10,3.0463,2.8288,3.7369,2.1044,Kopi Sedang
8930,2025-05-15T16:41:13,3.0775,2.8539,3.7364,2.1085,Kopi Sedang
8931,2025-05-15T16:41:16,3.036,2.7796,3.7362,2.1102,Kopi Sedang
8932,2025-05-15T16:41:19,3.036,2.8102,3.736,2.1125,Kopi Sedang
8933,2025-05-15T16:41:22,3.0463,2.8164,3.7358,2.1097,Kopi Sedang
8934,2025-05-15T16:41:25,3.0463,2.8041,3.7355,2.1059,Kopi Sedang
8935,2025-05-15T16:41:28,3.036,2.8102,3.7344,2.0996,Kopi Sedang
8936,2025-05-15T16:41:32,3.0258,2.8102,3.7347,2.0934,Kopi Sedang
8937,2025-05-15T16:41:35,3.0619,2.8539,3.7351,2.0935,Kopi Sedang
8938,2025-05-15T16:41:38,3.0309,2.8226,3.7351,2.0917,Kopi Sedang
8939,2025-05-15T16:41:41,3.0567,2.8539,3.7362,2.0888,Kopi Sedang
8940,2025-05-15T16:41:44,3.0933,2.8729,3.7373,2.0852,Kopi Sedang
8941,2025-05-15T16:41:47,3.0671,2.8413,3.7377,2.0824,Kopi Sedang
8942,2025-05-15T16:41:50,3.088,2.8729,3.7377,2.0817,Kopi Sedang
8943,2025-05-15T16:41:53,3.0933,2.8665,3.738,2.0819,Kopi Sedang
8944,2025-05-15T16:41:56,3.1091,2.8665,3.7384,2.0832,Kopi Sedang
8945,2025-05-15T16:41:59,3.2571,2.9703,3.7386,2.0941,Kopi Sedang
8946,2025-05-15T16:42:02,3.2346,2.8984,3.7382,2.1037,Kopi Sedang
8947,2025-05-15T16:42:05,3.2685,2.9243,3.7375,2.1105,Kopi Sedang
8948,2025-05-15T16:42:09,3.2458,2.8856,3.738,2.1173,Kopi Sedang
8949,2025-05-15T16:42:12,3.2234,2.892,3.7373,2.1243,Kopi Sedang
8950,2025-05-15T16:42:15,3.2179,2.9178,3.7366,2.1314,Kopi Sedang
8951,2025-05-15T16:42:18,3.036,2.7796,3.7364,2.1304,Kopi Sedang
8952,2025-05-15T16:42:21,3.0671,2.8164,3.7369,2.1287,Kopi Sedang
8953,2025-05-15T16:42:24,3.0775,2.8476,3.7366,2.1277,Kopi Sedang
8954,2025-05-15T16:42:27,3.229,2.9903,3.7366,2.1358,Kopi Sedang
8955,2025-05-15T16:42:30,3.088,2.8413,3.7375,2.1267,Kopi Sedang
8956,2025-05-15T16:42:33,3.1145,2.8351,3.7377,2.1201,Kopi Sedang
8957,2025-05-15T16:42:36,3.1038,2.8413,3.7375,2.1122,Kopi Sedang
8958,2025-05-15T16:42:39,3.0933,2.8729,3.7375,2.107,Kopi Sedang
8959,2025-05-15T16:42:42,3.0723,2.8602,3.7369,2.0988,Kopi Sedang
8960,2025-05-15T16:42:45,3.088,2.8856,3.7375,2.091,Kopi Sedang
8961,2025-05-15T16:42:49,3.1038,2.9049,3.7386,2.094,Kopi Sedang
8962,2025-05-15T16:42:52,3.0933,2.892,3.738,2.094,Kopi Sedang
8963,2025-05-15T16:42:55,3.1198,2.9178,3.738,2.0941,Kopi Sedang
8964,2025-05-15T16:42:58,3.1145,2.8984,3.7377,2.0843,Kopi Sedang
8965,2025-05-15T16:43:01,3.1251,2.9113,3.7371,2.0842,Kopi Sedang
8966,2025-05-15T16:43:04,3.1198,2.8984,3.7369,2.0823,Kopi Sedang
8967,2025-05-15T16:43:07,3.1305,2.9113,3.7377,2.0802,Kopi Sedang
8968,2025-05-15T16:43:10,3.1251,2.9113,3.7375,2.0772,Kopi Sedang
8969,2025-05-15T16:43:13,3.1358,2.9178,3.7377,2.0769,Kopi Sedang
8970,2025-05-15T16:43:16,3.1412,2.9243,3.7369,2.0762,Kopi Sedang
8971,2025-05-15T16:43:19,3.1305,2.9178,3.7362,2.0732,Kopi Sedang
8972,2025-05-15T16:43:22,3.1251,2.8984,3.736,2.0707,Kopi Sedang
8973,2025-05-15T16:43:25,3.1251,2.9113,3.736,2.0663,Kopi Sedang
8974,2025-05-15T16:43:29,3.1466,2.9178,3.7364,2.0645,Kopi Sedang
8975,2025-05-15T16:43:32,3.152,2.9308,3.7364,2.06,Kopi Sedang
8976,2025-05-15T16:43:35,3.1466,2.9178,3.7364,2.0585,Kopi Sedang
8977,2025-05-15T16:43:38,3.152,2.9308,3.7353,2.0567,Kopi Sedang
8978,2025-05-15T16:43:41,3.1466,2.9243,3.7355,2.0534,Kopi Sedang
8979,2025-05-15T16:43:44,3.1358,2.9178,3.7358,2.0458,Kopi Sedang
8980,2025-05-15T16:43:47,3.1466,2.9504,3.736,2.0463,Kopi Sedang
8981,2025-05-15T16:43:50,3.0986,2.8792,3.7358,2.0403,Kopi Sedang
8982,2025-05-15T16:43:53,3.1091,2.9373,3.7369,2.0356,Kopi Sedang
8983,2025-05-15T16:43:56,3.1198,2.9439,3.7371,2.0345,Kopi Sedang
8984,2025-05-15T16:43:59,3.1251,2.9439,3.7366,2.0304,Kopi Sedang
