id,timestamp,mq135,mq2,mq4,mq7,kualitas
15663,2025-05-26T20:10:17,1.9351,1.9889,3.7588,1.6502,Campuran
15665,2025-05-26T20:10:23,1.9316,1.9889,3.757,1.6497,Campuran
15667,2025-05-26T20:10:30,1.9387,1.9966,3.7581,1.6485,Campuran
15669,2025-05-26T20:10:36,1.9316,1.9889,3.7508,1.6482,Campuran
15670,2025-05-26T20:10:39,1.9387,1.9966,3.7568,1.6481,Campuran
15672,2025-05-26T20:10:45,1.928,1.9889,3.7566,1.6488,Campuran
15674,2025-05-26T20:10:51,1.9245,1.9812,3.7472,1.6472,Campuran
15676,2025-05-26T20:10:57,1.928,1.9889,3.7524,1.6479,Campuran
15678,2025-05-26T20:11:03,1.9351,1.9889,3.751,1.6464,Campuran
15680,2025-05-26T20:11:09,1.9316,1.9812,3.7512,1.6464,Campuran
15682,2025-05-26T20:11:16,1.9316,1.9812,3.7528,1.6454,Campuran
15683,2025-05-26T20:11:19,1.9351,1.9889,3.7586,1.6458,Campuran
15685,2025-05-26T20:11:25,1.928,1.9812,3.7535,1.6458,Campuran
15687,2025-05-26T20:11:31,1.9351,1.9966,3.7628,1.6466,Campuran
15689,2025-05-26T20:11:37,1.9316,1.9889,3.7535,1.6456,Campuran
15691,2025-05-26T20:11:43,1.9351,1.9889,3.757,1.6454,Campuran
15693,2025-05-26T20:11:49,1.9245,1.9812,3.7563,1.6462,Campuran
15695,2025-05-26T20:11:56,1.9245,1.9736,3.7566,1.6452,Campuran
15696,2025-05-26T20:11:59,1.9316,1.9889,3.7568,1.645,Campuran
15698,2025-05-26T20:12:05,1.9245,1.9812,3.7577,1.645,Campuran
15700,2025-05-26T20:12:11,1.9351,1.9889,3.7662,1.6459,Campuran
15702,2025-05-26T20:12:17,1.928,1.9812,3.761,1.6448,Campuran
15704,2025-05-26T20:12:23,1.9245,1.9812,3.7664,1.646,Campuran
15706,2025-05-26T20:12:29,1.9316,1.9889,3.7655,1.6464,Campuran
15708,2025-05-26T20:12:35,1.9245,1.9736,3.7615,1.6454,Campuran
15710,2025-05-26T20:12:41,1.9351,1.9966,3.7626,1.6454,Campuran
15713,2025-05-26T20:12:51,1.9209,1.9736,3.7548,1.6436,Campuran
15715,2025-05-26T20:12:57,1.928,1.9889,3.759,1.6441,Campuran
15664,2025-05-26T20:10:20,1.9387,1.9966,3.7626,1.6503,Campuran
15666,2025-05-26T20:10:27,1.9316,1.9889,3.753,1.6483,Campuran
15668,2025-05-26T20:10:33,1.9387,1.9966,3.755,1.649,Campuran
15671,2025-05-26T20:10:42,1.9351,1.9966,3.7559,1.6485,Campuran
15673,2025-05-26T20:10:48,1.928,1.9812,3.7512,1.6484,Campuran
15675,2025-05-26T20:10:54,1.9351,1.9812,3.7532,1.6474,Campuran
15677,2025-05-26T20:11:00,1.9245,1.9812,3.747,1.647,Campuran
15679,2025-05-26T20:11:06,1.9351,1.9966,3.7559,1.647,Campuran
15681,2025-05-26T20:11:13,1.928,1.9889,3.7519,1.6461,Campuran
15684,2025-05-26T20:11:22,1.9316,1.9889,3.7592,1.6465,Campuran
15686,2025-05-26T20:11:28,1.9351,1.9889,3.7586,1.6457,Campuran
15688,2025-05-26T20:11:34,1.9316,1.9889,3.757,1.6462,Campuran
15690,2025-05-26T20:11:40,1.928,1.9812,3.7532,1.6452,Campuran
15692,2025-05-26T20:11:46,1.9316,1.9889,3.7615,1.6466,Campuran
15694,2025-05-26T20:11:52,1.9245,1.9812,3.7555,1.6456,Campuran
15697,2025-05-26T20:12:02,1.9459,2.0043,3.7568,1.6452,Campuran
15699,2025-05-26T20:12:08,1.9316,1.9889,3.7612,1.645,Campuran
15701,2025-05-26T20:12:14,1.928,1.9889,3.7621,1.6454,Campuran
15703,2025-05-26T20:12:20,1.928,1.9889,3.7655,1.6455,Campuran
15705,2025-05-26T20:12:26,1.9209,1.9736,3.7659,1.6462,Campuran
15707,2025-05-26T20:12:32,1.928,1.9812,3.7617,1.6454,Campuran
15709,2025-05-26T20:12:38,1.9316,1.9889,3.763,1.6454,Campuran
15711,2025-05-26T20:12:45,1.9245,1.9812,3.763,1.6454,Campuran
15712,2025-05-26T20:12:48,1.9245,1.9736,3.7597,1.6449,Campuran
15714,2025-05-26T20:12:54,1.9316,1.9812,3.759,1.6436,Campuran
15716,2025-05-26T20:13:00,1.9245,1.9812,3.7546,1.6433,Campuran
15717,2025-05-26T20:13:03,1.9387,1.9966,3.7595,1.6434,Campuran
15718,2025-05-26T20:13:06,1.9351,1.9966,3.7633,1.6442,Campuran
15719,2025-05-26T20:13:09,1.9387,1.9966,3.7624,1.6451,Campuran
15720,2025-05-26T20:13:12,1.9351,2.0043,3.7628,1.6454,Campuran
15918,2025-05-26T20:23:53,1.8153,1.7044,3.7559,2.1776,Campuran
15921,2025-05-26T20:24:02,1.8252,1.6919,3.7566,1.4507,Campuran
15925,2025-05-26T20:24:14,1.8318,1.6735,3.7614,1.4144,Campuran
15929,2025-05-26T20:24:27,1.8418,1.6613,3.7612,1.3862,Campuran
15933,2025-05-26T20:24:39,1.8418,1.6433,3.7552,1.3606,Campuran
15721,2025-05-26T20:13:15,1.9245,1.9889,3.763,1.6456,Campuran
15722,2025-05-26T20:13:18,1.9316,1.9889,3.7673,1.6466,Campuran
15724,2025-05-26T20:13:24,1.9387,1.9966,3.7726,1.6491,Campuran
15726,2025-05-26T20:13:31,1.9245,1.9889,3.7722,1.6498,Campuran
15728,2025-05-26T20:13:37,1.9423,2.0121,3.7713,1.6509,Campuran
15729,2025-05-26T20:13:40,1.9245,1.9889,3.7659,1.6498,Campuran
15731,2025-05-26T20:13:46,1.9316,1.9966,3.7693,1.6501,Campuran
15733,2025-05-26T20:13:52,1.9245,1.9812,3.7603,1.6486,Campuran
15735,2025-05-26T20:13:58,1.9316,1.9889,3.7623,1.6475,Campuran
15737,2025-05-26T20:14:04,1.928,1.9889,3.7635,1.6482,Campuran
15739,2025-05-26T20:14:10,1.9351,1.9966,3.7684,1.649,Campuran
15741,2025-05-26T20:14:17,1.9245,1.9889,3.7594,1.649,Campuran
15743,2025-05-26T20:14:23,1.9316,1.9966,3.7623,1.6514,Campuran
15745,2025-05-26T20:14:29,1.9387,2.0043,3.761,1.6532,Campuran
15747,2025-05-26T20:14:35,1.928,1.9966,3.7546,1.6535,Campuran
15748,2025-05-26T20:14:38,1.9351,1.9966,3.7557,1.6539,Campuran
15750,2025-05-26T20:14:44,1.928,1.9966,3.7544,1.6542,Campuran
15752,2025-05-26T20:14:50,1.9387,2.0121,3.7595,1.6556,Campuran
15754,2025-05-26T20:14:56,1.9316,1.9966,3.7602,1.6568,Campuran
15756,2025-05-26T20:15:03,1.9351,2.0043,3.759,1.658,Campuran
15758,2025-05-26T20:15:09,1.9423,2.0121,3.7604,1.6596,Campuran
15760,2025-05-26T20:15:15,1.9316,1.9966,3.7574,1.6608,Campuran
