id,timestamp,mq135,mq2,mq4,mq7,jenis
24694,2025-06-02T14:50:25,0.263,0.32,1.268,2.535,arabika
24695,2025-06-02T14:50:26,0.263,0.321,1.271,2.535,arabika
24696,2025-06-02T14:50:27,0.263,0.321,1.271,2.538,arabika
24697,2025-06-02T14:50:28,0.263,0.321,1.273,2.538,arabika
24698,2025-06-02T14:50:29,0.263,0.321,1.273,2.538,arabika
24699,2025-06-02T14:50:30,0.263,0.321,1.273,2.538,arabika
24700,2025-06-02T14:50:31,0.263,0.321,1.273,2.539,arabika
24701,2025-06-02T14:50:32,0.263,0.321,1.272,2.53,arabika
24702,2025-06-02T14:50:34,0.263,0.321,1.272,2.535,arabika
24703,2025-06-02T14:50:35,0.263,0.321,1.272,2.535,arabika
24704,2025-06-02T14:50:36,0.263,0.321,1.272,2.535,arabika
24705,2025-06-02T14:50:37,0.263,0.321,1.271,2.535,arabika
24706,2025-06-02T14:50:38,0.263,0.321,1.273,2.538,arabika
24707,2025-06-02T14:50:39,0.263,0.322,1.273,2.539,arabika
24708,2025-06-02T14:50:40,0.263,0.323,1.273,2.538,arabika
24709,2025-06-02T14:50:41,0.263,0.323,1.273,2.54,arabika
24710,2025-06-02T14:50:42,0.263,0.323,1.272,2.538,arabika
24711,2025-06-02T14:50:43,0.263,0.322,1.271,2.537,arabika
24712,2025-06-02T14:50:44,0.262,0.321,1.271,2.537,arabika
24713,2025-06-02T14:50:45,0.262,0.321,1.271,2.538,arabika
24714,2025-06-02T14:50:46,0.262,0.32,1.27,2.537,arabika
24715,2025-06-02T14:50:47,0.262,0.32,1.272,2.54,arabika
24716,2025-06-02T14:50:48,0.262,0.319,1.272,2.539,arabika
24717,2025-06-02T14:50:50,0.262,0.318,1.27,2.534,arabika
24718,2025-06-02T14:50:51,0.262,0.317,1.27,2.532,arabika
24719,2025-06-02T14:50:52,0.262,0.317,1.27,2.527,arabika
24720,2025-06-02T14:50:53,0.261,0.316,1.268,2.52,arabika
24721,2025-06-02T14:50:54,0.262,0.315,1.268,2.524,arabika
24722,2025-06-02T14:50:55,0.262,0.315,1.27,2.525,arabika
24723,2025-06-02T14:50:56,0.262,0.315,1.27,2.523,arabika
24724,2025-06-02T14:50:57,0.262,0.314,1.267,2.521,arabika
24725,2025-06-02T14:50:58,0.262,0.314,1.269,2.521,arabika
24726,2025-06-02T14:50:59,0.262,0.313,1.269,2.52,arabika
24727,2025-06-02T14:51:00,0.262,0.313,1.269,2.519,arabika
24728,2025-06-02T14:51:01,0.262,0.313,1.269,2.518,arabika
24729,2025-06-02T14:51:02,0.261,0.312,1.267,2.515,arabika
24730,2025-06-02T14:51:03,0.261,0.312,1.267,2.514,arabika
24731,2025-06-02T14:51:05,0.261,0.311,1.265,2.511,arabika
24732,2025-06-02T14:51:06,0.261,0.312,1.266,2.514,arabika
24733,2025-06-02T14:51:07,0.261,0.312,1.266,2.513,arabika
24734,2025-06-02T14:51:08,0.261,0.312,1.267,2.517,arabika
24735,2025-06-02T14:51:09,0.261,0.312,1.268,2.517,arabika
24736,2025-06-02T14:51:10,0.261,0.312,1.268,2.517,arabika
24737,2025-06-02T14:51:11,0.261,0.312,1.268,2.517,arabika
24738,2025-06-02T14:51:12,0.26,0.312,1.266,2.514,arabika
24739,2025-06-02T14:51:13,0.26,0.312,1.266,2.513,arabika
24740,2025-06-02T14:51:14,0.26,0.313,1.266,2.514,arabika
24741,2025-06-02T14:51:15,0.26,0.313,1.266,2.514,arabika
24742,2025-06-02T14:51:16,0.26,0.313,1.268,2.517,arabika
24743,2025-06-02T14:51:17,0.26,0.313,1.266,2.515,arabika
24744,2025-06-02T14:51:18,0.26,0.313,1.266,2.516,arabika
24745,2025-06-02T14:51:19,0.26,0.314,1.266,2.516,arabika
24746,2025-06-02T14:51:21,0.26,0.314,1.266,2.516,arabika
24747,2025-06-02T14:51:22,0.26,0.314,1.267,2.517,arabika
24748,2025-06-02T14:51:23,0.26,0.314,1.268,2.521,arabika
24749,2025-06-02T14:51:24,0.26,0.315,1.269,2.522,arabika
24750,2025-06-02T14:51:25,0.26,0.315,1.269,2.522,arabika
24751,2025-06-02T14:51:26,0.26,0.315,1.269,2.523,arabika
24752,2025-06-02T14:51:27,0.26,0.315,1.268,2.519,arabika
24753,2025-06-02T14:51:28,0.26,0.315,1.265,2.52,arabika
24754,2025-06-02T14:51:29,0.26,0.315,1.268,2.52,arabika
24755,2025-06-02T14:51:30,0.26,0.315,1.268,2.52,arabika
24756,2025-06-02T14:51:31,0.26,0.316,1.268,2.521,arabika
24757,2025-06-02T14:51:32,0.261,0.316,1.269,2.524,arabika
24758,2025-06-02T14:51:33,0.261,0.317,1.269,2.526,arabika
24759,2025-06-02T14:51:34,0.261,0.317,1.27,2.526,arabika
24760,2025-06-02T14:51:36,0.261,0.317,1.27,2.527,arabika
24761,2025-06-02T14:51:37,0.261,0.317,1.27,2.527,arabika
24762,2025-06-02T14:51:38,0.261,0.317,1.269,2.526,arabika
24763,2025-06-02T14:51:39,0.261,0.317,1.27,2.528,arabika
24764,2025-06-02T14:51:40,0.261,0.317,1.27,2.528,arabika
24765,2025-06-02T14:51:41,0.261,0.317,1.27,2.529,arabika
24766,2025-06-02T14:51:42,0.261,0.317,1.268,2.526,arabika
24767,2025-06-02T14:51:43,0.261,0.317,1.268,2.526,arabika
24768,2025-06-02T14:51:44,0.261,0.317,1.268,2.526,arabika
24769,2025-06-02T14:51:45,0.261,0.317,1.268,2.527,arabika
24770,2025-06-02T14:51:46,0.261,0.317,1.268,2.527,arabika
24771,2025-06-02T14:51:47,0.261,0.318,1.269,2.53,arabika
24772,2025-06-02T14:51:48,0.261,0.318,1.269,2.531,arabika
24773,2025-06-02T14:51:50,0.261,0.318,1.27,2.532,arabika
24774,2025-06-02T14:51:51,0.261,0.318,1.27,2.532,arabika
24775,2025-06-02T14:51:52,0.261,0.318,1.27,2.532,arabika
24776,2025-06-02T14:51:53,0.261,0.318,1.268,2.529,arabika
24777,2025-06-02T14:51:54,0.261,0.318,1.268,2.529,arabika
24778,2025-06-02T14:51:55,0.261,0.318,1.268,2.529,arabika
24779,2025-06-02T14:51:56,0.261,0.318,1.268,2.53,arabika
24780,2025-06-02T14:51:57,0.261,0.318,1.268,2.53,arabika
24781,2025-06-02T14:51:58,0.261,0.319,1.268,2.534,arabika
24782,2025-06-02T14:51:59,0.262,0.319,1.27,2.534,arabika
24783,2025-06-02T14:52:00,0.262,0.319,1.27,2.536,arabika
24784,2025-06-02T14:52:01,0.261,0.319,1.269,2.533,arabika
24785,2025-06-02T14:52:02,0.261,0.319,1.269,2.533,arabika
24786,2025-06-02T14:52:03,0.261,0.319,1.269,2.527,arabika
24787,2025-06-02T14:52:04,0.261,0.319,1.269,2.533,arabika
24788,2025-06-02T14:52:06,0.261,0.319,1.269,2.534,arabika
24789,2025-06-02T14:52:07,0.262,0.319,1.271,2.538,arabika
24790,2025-06-02T14:52:08,0.262,0.319,1.269,2.534,arabika
24791,2025-06-02T14:52:09,0.262,0.319,1.27,2.535,arabika
24792,2025-06-02T14:52:10,0.261,0.319,1.27,2.535,arabika
24793,2025-06-02T14:52:11,0.262,0.319,1.27,2.535,arabika
24794,2025-06-02T14:52:12,0.261,0.319,1.266,2.53,arabika
24795,2025-06-02T14:52:13,0.262,0.319,1.27,2.537,arabika
24796,2025-06-02T14:52:14,0.262,0.32,1.272,2.54,arabika
24797,2025-06-02T14:52:15,0.262,0.32,1.272,2.54,arabika
24798,2025-06-02T14:52:16,0.262,0.32,1.272,2.54,arabika
24799,2025-06-02T14:52:17,0.262,0.32,1.272,2.541,arabika
24800,2025-06-02T14:52:18,0.262,0.32,1.272,2.541,arabika
24801,2025-06-02T14:52:19,0.262,0.32,1.272,2.541,arabika
24802,2025-06-02T14:52:21,0.262,0.32,1.272,2.542,arabika
24803,2025-06-02T14:52:22,0.262,0.32,1.272,2.542,arabika
24804,2025-06-02T14:52:23,0.262,0.32,1.27,2.539,arabika
24805,2025-06-02T14:52:24,0.262,0.32,1.271,2.539,arabika
24806,2025-06-02T14:52:25,0.262,0.32,1.27,2.539,arabika
24807,2025-06-02T14:52:26,0.262,0.32,1.271,2.536,arabika
24808,2025-06-02T14:52:27,0.262,0.32,1.268,2.534,arabika
24809,2025-06-02T14:52:28,0.262,0.321,1.271,2.543,arabika
24810,2025-06-02T14:52:29,0.262,0.322,1.272,2.544,arabika
24811,2025-06-02T14:52:30,0.262,0.322,1.273,2.545,arabika
24812,2025-06-02T14:52:31,0.262,0.322,1.273,2.545,arabika
24813,2025-06-02T14:52:32,0.262,0.321,1.272,2.542,arabika
