id,timestamp,mq135,mq2,mq4,mq7,kualitas
16011,2025-05-26T20:30:08,2.5351,2.0042,3.7473,1.6882,Campuran
16012,2025-05-26T20:30:11,2.5121,1.9969,3.7385,1.682,Campuran
16013,2025-05-26T20:30:14,2.5167,2.0042,3.7503,1.6806,Campuran
16014,2025-05-26T20:30:18,2.5213,2.0042,3.7574,1.6814,Campuran
16015,2025-05-26T20:30:21,2.5121,2.0042,3.7523,1.6808,Campuran
16016,2025-05-26T20:30:24,2.5075,1.9969,3.7489,1.6798,Campuran
16017,2025-05-26T20:30:27,2.5075,2.0042,3.7474,1.6792,Campuran
16018,2025-05-26T20:30:30,2.5213,2.0116,3.7507,1.6796,Campuran
16019,2025-05-26T20:30:33,2.5259,2.0116,3.7538,1.6805,Campuran
16020,2025-05-26T20:30:36,2.5121,2.0116,3.7516,1.6806,Campuran
16021,2025-05-26T20:30:39,2.5121,2.0116,3.7514,1.6799,Campuran
16022,2025-05-26T20:30:42,2.5075,2.0042,3.7521,1.6814,Campuran
16023,2025-05-26T20:30:45,2.8245,2.3019,3.7487,1.7025,Campuran
16024,2025-05-26T20:30:48,5.0,5.0,3.7438,2.0342,Robusta
16025,2025-05-26T20:30:51,5.0,5.0,3.7535,2.3663,Robusta
16026,2025-05-26T20:30:54,3.9691,2.793,3.7535,2.4625,Campuran
16027,2025-05-26T20:30:57,2.7978,2.6082,3.753,2.569,Campuran
16028,2025-05-26T20:31:00,2.5075,2.6823,3.7539,2.6505,Campuran
16029,2025-05-26T20:31:04,2.4185,2.6291,3.7546,2.7109,Campuran
16030,2025-05-26T20:31:07,2.4316,2.5773,3.7597,2.7612,Campuran
16031,2025-05-26T20:31:10,2.436,2.507,3.7602,2.8039,Campuran
16032,2025-05-26T20:31:13,2.4448,2.4487,3.7606,2.8397,Campuran
16033,2025-05-26T20:31:16,2.4714,2.4297,3.7644,2.8531,Campuran
16034,2025-05-26T20:31:19,2.4759,2.4016,3.7648,2.5518,Campuran
16035,2025-05-26T20:31:22,2.4984,2.3923,3.7608,2.2484,Campuran
16036,2025-05-26T20:31:25,2.4894,2.3556,3.7608,2.1781,Campuran
16037,2025-05-26T20:31:28,2.4984,2.3465,3.7605,2.0956,Campuran
16038,2025-05-26T20:31:31,2.5121,2.3465,3.7601,2.0366,Campuran
16039,2025-05-26T20:31:36,2.5397,2.3375,3.7541,1.9963,Campuran
16040,2025-05-26T20:31:39,2.5259,2.3285,3.7532,1.965,Campuran
16041,2025-05-26T20:31:42,2.5772,2.3647,3.7561,1.9428,Campuran
16042,2025-05-26T20:31:45,2.5444,2.3285,3.7608,1.923,Campuran
16043,2025-05-26T20:31:48,2.5351,2.3107,3.7579,1.9032,Campuran
16044,2025-05-26T20:31:51,2.549,2.3107,3.7579,1.8868,Campuran
16045,2025-05-26T20:31:54,2.5631,2.3107,3.7567,1.8721,Campuran
16046,2025-05-26T20:31:58,2.5631,2.3019,3.7621,1.8596,Campuran
16047,2025-05-26T20:32:01,2.5584,2.3019,3.7612,1.8478,Campuran
16048,2025-05-26T20:32:04,2.549,2.2844,3.7563,1.8351,Campuran
16049,2025-05-26T20:32:07,2.582,2.3107,3.7621,1.8258,Campuran
16050,2025-05-26T20:32:10,2.5772,2.2931,3.7579,1.8167,Campuran
16051,2025-05-26T20:32:13,2.582,2.2931,3.753,1.8056,Campuran
16052,2025-05-26T20:32:16,2.5915,2.3019,3.7528,1.7977,Campuran
16053,2025-05-26T20:32:19,2.6107,2.3196,3.7559,1.7934,Campuran
16060,2025-05-26T20:32:41,2.635,2.3107,3.7639,1.7599,Campuran
16054,2025-05-26T20:32:22,2.5963,2.3019,3.7561,1.7871,Campuran
16055,2025-05-26T20:32:25,2.6011,2.3019,3.7568,1.7809,Campuran
16056,2025-05-26T20:32:28,2.5963,2.2931,3.7561,1.7751,Campuran
16057,2025-05-26T20:32:31,2.6011,2.2931,3.7585,1.7696,Campuran
16058,2025-05-26T20:32:34,2.6204,2.3196,3.763,1.767,Campuran
16059,2025-05-26T20:32:37,2.6301,2.3107,3.7632,1.7628,Campuran
16062,2025-05-26T20:32:47,2.6398,2.3107,3.7605,1.7546,Campuran
16064,2025-05-26T20:32:53,2.6204,2.2931,3.7638,1.7476,Campuran
16065,2025-05-26T20:32:56,2.6301,2.2931,3.7594,1.7451,Campuran
16066,2025-05-26T20:32:59,2.6398,2.3019,3.7552,1.7435,Campuran
16067,2025-05-26T20:33:02,2.6155,2.2757,3.7585,1.7405,Campuran
16061,2025-05-26T20:32:44,2.6155,2.3019,3.7652,1.7566,Campuran
16063,2025-05-26T20:32:50,2.6252,2.3019,3.7598,1.7503,Campuran
