id,timestamp,mq135,mq2,mq4,mq7,kualitas
24117,2025-06-02T11:31:56,0.133,0.093,0.525,1.254,Arabika
24118,2025-06-02T11:32:00,0.133,0.093,0.526,1.254,Arabika
24119,2025-06-02T11:32:03,0.133,0.093,0.526,1.255,Arabika
24120,2025-06-02T11:32:06,0.133,0.094,0.528,1.255,Arabika
24121,2025-06-02T11:32:09,0.133,0.093,0.527,1.249,Arabika
24122,2025-06-02T11:32:12,0.134,0.093,0.528,1.248,Arabika
24123,2025-06-02T11:32:15,0.13,0.091,0.513,1.241,Arabika
24124,2025-06-02T11:32:18,0.139,0.099,0.55,1.32,Arabika
24125,2025-06-02T11:32:21,0.14,0.098,0.555,1.313,Arabika
24126,2025-06-02T11:32:24,0.14,0.096,0.553,1.29,Arabika
24127,2025-06-02T11:32:27,0.138,0.093,0.547,1.262,Arabika
24128,2025-06-02T11:32:30,0.136,0.091,0.538,1.232,Arabika
24129,2025-06-02T11:32:33,0.124,0.08,0.5,1.083,Arabika
24130,2025-06-02T11:32:36,0.094,0.063,0.0,0.849,Arabika
24131,2025-06-02T11:32:40,0.158,0.101,0.628,1.359,Arabika
24132,2025-06-02T11:32:43,0.195,0.14,0.756,1.81,Arabika
24133,2025-06-02T11:32:46,0.199,0.127,0.768,1.608,Arabika
24134,2025-06-02T11:32:49,0.173,0.103,0.635,1.225,Arabika
24135,2025-06-02T11:32:52,0.131,0.076,0.453,0.825,Arabika
24136,2025-06-02T11:32:55,0.116,0.066,0.387,0.693,Arabika
24137,2025-06-02T11:32:58,0.112,0.065,0.367,0.679,Arabika
24138,2025-06-02T11:33:01,0.106,0.062,0.351,0.618,Arabika
24139,2025-06-02T11:33:04,0.112,0.068,0.367,0.639,Arabika
24140,2025-06-02T11:33:07,0.118,0.072,0.384,0.64,Arabika
24141,2025-06-02T11:33:10,0.139,0.088,0.459,0.846,Arabika
24142,2025-06-02T11:33:13,0.0,0.0,0.0,0.118,Arabika
24143,2025-06-02T11:33:17,0.123,0.079,0.391,0.748,Arabika
24144,2025-06-02T11:33:20,0.095,0.066,0.31,0.733,Arabika
24145,2025-06-02T11:33:23,0.123,0.079,0.416,0.788,Arabika
24146,2025-06-02T11:33:26,0.112,0.068,0.382,0.671,Arabika
24147,2025-06-02T11:33:29,0.088,0.049,0.312,0.471,Arabika
24148,2025-06-02T11:33:32,0.16,0.102,0.546,1.035,Arabika
