id,timestamp,mq135,mq2,mq4,mq7,jenis
25797,2025-06-02T15:16:06,0.249,0.285,1.194,2.378,robusta
25798,2025-06-02T15:16:07,0.249,0.286,1.195,2.379,robusta
25799,2025-06-02T15:16:08,0.249,0.286,1.196,2.38,robusta
25800,2025-06-02T15:16:09,0.249,0.286,1.197,2.381,robusta
25801,2025-06-02T15:16:10,0.249,0.285,1.197,2.38,robusta
25802,2025-06-02T15:16:11,0.249,0.285,1.197,2.38,robusta
25803,2025-06-02T15:16:12,0.249,0.285,1.197,2.38,robusta
25804,2025-06-02T15:16:13,0.249,0.285,1.197,2.379,robusta
25805,2025-06-02T15:16:14,0.249,0.285,1.197,2.378,robusta
25806,2025-06-02T15:16:15,0.249,0.285,1.197,2.377,robusta
25807,2025-06-02T15:16:17,0.249,0.284,1.197,2.377,robusta
25808,2025-06-02T15:16:18,0.249,0.284,1.196,2.373,robusta
25809,2025-06-02T15:16:19,0.249,0.284,1.195,2.372,robusta
25810,2025-06-02T15:16:20,0.249,0.284,1.195,2.371,robusta
25811,2025-06-02T15:16:21,0.249,0.284,1.195,2.371,robusta
25812,2025-06-02T15:16:22,0.249,0.284,1.196,2.373,robusta
25813,2025-06-02T15:16:23,0.249,0.284,1.195,2.374,robusta
25814,2025-06-02T15:16:24,0.249,0.284,1.196,2.375,robusta
25815,2025-06-02T15:16:25,0.249,0.284,1.196,2.376,robusta
25816,2025-06-02T15:16:26,0.249,0.284,1.196,2.373,robusta
25817,2025-06-02T15:16:27,0.249,0.283,1.195,2.373,robusta
25818,2025-06-02T15:16:28,0.249,0.283,1.195,2.372,robusta
25819,2025-06-02T15:16:29,0.248,0.283,1.195,2.373,robusta
25820,2025-06-02T15:16:30,0.248,0.283,1.194,2.372,robusta
25821,2025-06-02T15:16:31,0.249,0.284,1.194,2.374,robusta
25822,2025-06-02T15:16:33,0.248,0.284,1.195,2.376,robusta
25823,2025-06-02T15:16:34,0.249,0.284,1.196,2.38,robusta
25824,2025-06-02T15:16:35,0.249,0.284,1.196,2.381,robusta
25825,2025-06-02T15:16:36,0.249,0.284,1.196,2.381,robusta
25826,2025-06-02T15:16:37,0.249,0.284,1.195,2.38,robusta
25827,2025-06-02T15:16:38,0.248,0.284,1.194,2.378,robusta
25828,2025-06-02T15:16:39,0.248,0.283,1.195,2.378,robusta
25829,2025-06-02T15:16:40,0.248,0.284,1.194,2.379,robusta
25830,2025-06-02T15:16:41,0.248,0.284,1.194,2.379,robusta
25831,2025-06-02T15:16:42,0.249,0.284,1.196,2.382,robusta
25832,2025-06-02T15:16:43,0.249,0.284,1.196,2.382,robusta
